Question,Answer
"The velocity of light is greater in a denser medium than in a rarer medium?","False.
Correct Statement: Velocity of light is lesser in a denser medium than in rarer medium"
"The power of the lens depends on the focal length of the lens?","True."
"Increase in the converging power of eye lens cause 'hypermetropia'.","True."
"The convex lens always gives a small virtual image.","False.
Correct Statement: The convex lens give enlarged. Virtual image when it is placed between pole and principal focus."
"1. Retina          (a) Pathway of light
2. Pupil           (b) Far point comes closer
3. Ciliary muscles (c) Near point moves away
4. Myopia          (d) Screen of the eye
5. Hypermetropia   (e) Power of accommodation","1. (d) Screen of the eye
2. (a) Pathway of light
3. (e) Power of accommodation
4. (b) Far point comes closer
5. (c) Near point moves away"
"Assertion: If the refractive index of the medium is high (denser medium) the velocity of the light in that medium will be small
Reason: Refractive index of the medium is inversely proportional to the velocity of the light","(a) If both assertion and reason are true and reason is the correct explanation of assertion."
"Assertion: Myopia is due to the increase in the converging power of the eye lens.
Reason: Myopia can be corrected with the help of the concave lens.","(b) If both assertion and reason are true but reason is not the correct explanation of assertion."
"What is refractive index?","The ratio of the speed of light in a vacuum to the speed of light in a medium is defined as the refractive index 'µ' of that medium."
"State Snell's law.","The ratio of the sine of the angle of incidence and sine of the angle of refraction is equal to the ratio of refractive indices of the two media. This law is also known as Snell's law.
sin i/sin r=µ2/µ1"
"Draw a ray diagram to show the image formed by a convex lens when the object is placed between F and 2F.","Ray diagram for an object placed between F and 2F"
"Define dispersion of light.","When a beam of white light or composite light is refracted through any transparent media such as glass or water, it is split into its component colours. This phenomenon is called as 'dispersion of light'."
"State Rayleigh's law of scattering.","Rayleigh's scattering law states that, 'The amount of scattering of light is inversely proportional to the fourth power of its wavelength'.
Amount of scattering 'S' ∝1/λ4"
"Differentiate convex lens and concave lens.","Convex lens:
1. It is thicker at the middle than at the edges.
2. It is a converging lens.
3. It forms both real and virtual images.

Concave lens:
1. It is thinner at the middle than at the edges.
2. It is a diverging lens.
3. It forms only virtual images."
"What is the power of accommodation of the eye?","* The ability of the eye lens to focus nearby as well as the distant objects is called the power of accommodation of the eye.
* This is achieved by changing the focal length of the eye lens with the help of ciliary muscles."
"What are the causes of 'Myopia'?","1. The lengthening of eye ball.
2. The focal length of eye lens is reduced.
3. The distance between eye lens and retina increases.
4. The far point will not be at infinity.
5. The far point comes closer."
"Why does the sky appear blue in colour?","When sunlight passes through the atmosphere, the blue colour (shorter wavelength) is scattered to a greater extent than the red colour (longer wavelength). This scattering causes the sky to appear blue in colour."
"Why are traffic signals red in colour?","* Red light has the highest wavelength.
* It is scattered by atmospheric particles.
* So red light is able to travel the longest distance through a fog, rain etc."
